Item	Category
apple	Produce
banana	Produce
orange	Produce
lettuce	Produce
carrot	Produce
broccoli	Produce
tomato	Produce
spinach	Produce
grapes	Produce
pear	Produce
kiwi	Produce
mango	Produce
strawberry	Produce
blueberry	Produce
zucchini	Produce
cucumber	Produce
avocado	Produce
chicken	Meat & Seafood
beef	Meat & Seafood
pork	Meat & Seafood
salmon	Meat & Seafood
tuna	Meat & Seafood
shrimp	Meat & Seafood
crab	Meat & Seafood
steak	Meat & Seafood
lamb	Meat & Seafood
bacon	Meat & Seafood
sardines	Meat & Seafood
trout	Meat & Seafood
tilapia	Meat & Seafood
cod	Meat & Seafood
turkey breast	Meat & Seafood
duck	Meat & Seafood
lobster	Meat & Seafood
milk	Dairy & Eggs
cheese	Dairy & Eggs
yogurt	Dairy & Eggs
butter	Dairy & Eggs
eggs	Dairy & Eggs
cream	Dairy & Eggs
sour cream	Dairy & Eggs
ice cream	Dairy & Eggs
buttermilk	Dairy & Eggs
cottage cheese	Dairy & Eggs
whipped cream	Dairy & Eggs
ghee	Dairy & Eggs
feta cheese	Dairy & Eggs
goat cheese	Dairy & Eggs
ricotta	Dairy & Eggs
cream cheese	Dairy & Eggs
bread	Bakery
bagel	Bakery
croissant	Bakery
muffin	Bakery
cake	Bakery
cookie	Bakery
donut	Bakery
brownie	Bakery
brioche	Bakery
pita	Bakery
ciabatta	Bakery
sourdough	Bakery
biscuit	Bakery
waffle	Bakery
crackers	Bakery
pastry	Bakery
flour	Pantry
sugar	Pantry
salt	Pantry
pepper	Pantry
oil	Pantry
vinegar	Pantry
pasta sauce	Pantry
peanut butter	Pantry
honey	Pantry
soy sauce	Pantry
tomato paste	Pantry
oats	Pantry
rice	Pantry
cereal	Pantry
spices	Pantry
herbs	Pantry
yeast	Pantry
canned tuna	Pantry
frozen pizza	Frozen Foods
frozen vegetables	Frozen Foods
ice cream	Frozen Foods
frozen fries	Frozen Foods
frozen chicken wings	Frozen Foods
frozen fish	Frozen Foods
frozen berries	Frozen Foods
frozen waffles	Frozen Foods
frozen dinners	Frozen Foods
frozen peas	Frozen Foods
frozen spinach	Frozen Foods
frozen shrimp	Frozen Foods
soda	Beverages
juice	Beverages
water	Beverages
coffee	Beverages
tea	Beverages
wine	Beverages
beer	Beverages
energy drink	Beverages
milkshake	Beverages
sports drink	Beverages
smoothie	Beverages
sparkling water	Beverages
lemonade	Beverages
iced tea	Beverages
hot chocolate	Beverages
chips	Snacks
popcorn	Snacks
chocolate bar	Snacks
candy	Snacks
cookies	Snacks
pretzels	Snacks
crackers	Snacks
granola bars	Snacks
nuts	Snacks
trail mix	Snacks
beef jerky	Snacks
fruit snacks	Snacks
cheese puffs	Snacks
rice cakes	Snacks
dried fruit	Snacks
protein bars	Snacks
deli meat	Deli
cheese slices	Deli
sandwich meat	Deli
salami	Deli
ham	Deli
turkey	Deli
bologna	Deli
roast beef	Deli
prosciutto	Deli
pepperoni	Deli
pastrami	Deli
chorizo	Deli
mortadella	Deli
ketchup	Condiments & Sauces
mustard	Condiments & Sauces
mayonnaise	Condiments & Sauces
bbq sauce	Condiments & Sauces
soy sauce	Condiments & Sauces
hot sauce	Condiments & Sauces
ranch dressing	Condiments & Sauces
salad dressing	Condiments & Sauces
pesto	Condiments & Sauces
tartar sauce	Condiments & Sauces
hoisin sauce	Condiments & Sauces
sriracha	Condiments & Sauces
tahini	Condiments & Sauces
vinaigrette	Condiments & Sauces
olive tapenade	Condiments & Sauces
canned beans	Canned Goods
canned corn	Canned Goods
canned tomatoes	Canned Goods
canned soup	Canned Goods
canned tuna	Canned Goods
canned peas	Canned Goods
canned chili	Canned Goods
canned mushrooms	Canned Goods
canned pineapple	Canned Goods
canned peaches	Canned Goods
canned carrots	Canned Goods
canned olives	Canned Goods
pasta	Pasta & Grains
rice	Pasta & Grains
quinoa	Pasta & Grains
couscous	Pasta & Grains
barley	Pasta & Grains
oats	Pasta & Grains
polenta	Pasta & Grains
macaroni	Pasta & Grains
spaghetti	Pasta & Grains
fettuccine	Pasta & Grains
bulgur	Pasta & Grains
brown rice	Pasta & Grains
wild rice	Pasta & Grains
noodles	Pasta & Grains
chicken thigh	Meat & Seafood
chicken breast	Meat & Seafood
pork belly	Meat & Seafood
kefir	Dairy & Eggs
biscuits	Snacks
brown sauce	Condiments & Sauces
chutney	Condiments & Sauces
lasanga	Pasta & Grains
risotto	Pasta & Grains
basmati rice	Pasta & Grains
cider	Beverages
ale	Beverages
olives	Deli
jamon	Deli
lard	Deli
canned butter beans	Canned
canned jalpenos	Canned
canned potatoes	Canned
canned custard	Canned
organic apple	Produce
organic banana	Produce
organic orange	Produce
organic lettuce	Produce
organic carrot	Produce
organic broccoli	Produce
organic tomato	Produce
organic spinach	Produce
organic grapes	Produce
organic pear	Produce
organic kiwi	Produce
organic mango	Produce
organic strawberry	Produce
organic blueberry	Produce
organic zucchini	Produce
organic cucumber	Produce
organic avocado	Produce
ground chicken	Meat & Seafood
ground beef	Meat & Seafood
ground pork	Meat & Seafood
ground salmon	Meat & Seafood
ground tuna	Meat & Seafood
ground shrimp	Meat & Seafood
ground crab	Meat & Seafood
ground steak	Meat & Seafood
ground lamb	Meat & Seafood
ground bacon	Meat & Seafood
ground sardines	Meat & Seafood
ground trout	Meat & Seafood
ground tilapia	Meat & Seafood
ground cod	Meat & Seafood
ground turkey breast	Meat & Seafood
ground duck	Meat & Seafood
ground lobster	Meat & Seafood
ground chicken thigh	Meat & Seafood
ground chicken breast	Meat & Seafood
ground pork belly	Meat & Seafood
cultured milk	Dairy & Eggs
cultured cheese	Dairy & Eggs
cultured yogurt	Dairy & Eggs
cultured butter	Dairy & Eggs
cultured eggs	Dairy & Eggs
cultured cream	Dairy & Eggs
cultured sour cream	Dairy & Eggs
cultured ice cream	Dairy & Eggs
cultured buttermilk	Dairy & Eggs
cultured cottage cheese	Dairy & Eggs
cultured whipped cream	Dairy & Eggs
cultured ghee	Dairy & Eggs
cultured feta cheese	Dairy & Eggs
cultured goat cheese	Dairy & Eggs
cultured ricotta	Dairy & Eggs
cultured cream cheese	Dairy & Eggs
cultured kefir	Dairy & Eggs
gluten free bread	Bakery
gluten free bagel	Bakery
gluten free croissant	Bakery
gluten free muffin	Bakery
gluten free cake	Bakery
gluten free cookie	Bakery
gluten free donut	Bakery
gluten free brownie	Bakery
gluten free brioche	Bakery
gluten free pita	Bakery
gluten free ciabatta	Bakery
gluten free sourdough	Bakery
gluten free biscuit	Bakery
gluten free waffle	Bakery
gluten free crackers	Bakery
gluten free pastry	Bakery
boneless chicken	Meat & Seafood
boneless beef	Meat & Seafood
boneless pork	Meat & Seafood
boneless salmon	Meat & Seafood
boneless tuna	Meat & Seafood
boneless shrimp	Meat & Seafood
boneless crab	Meat & Seafood
boneless steak	Meat & Seafood
boneless lamb	Meat & Seafood
boneless bacon	Meat & Seafood
boneless sardines	Meat & Seafood
boneless trout	Meat & Seafood
boneless tilapia	Meat & Seafood
boneless cod	Meat & Seafood
boneless turkey breast	Meat & Seafood
boneless duck	Meat & Seafood
boneless lobster	Meat & Seafood
boneless chicken thigh	Meat & Seafood
boneless chicken breast	Meat & Seafood
boneless pork belly	Meat & Seafood
gluten free chips	Snacks
gluten free popcorn	Snacks
gluten free chocolate bar	Snacks
gluten free candy	Snacks
gluten free cookies	Snacks
gluten free pretzels	Snacks
gluten free crackers	Snacks
gluten free granola bars	Snacks
gluten free nuts	Snacks
gluten free trail mix	Snacks
gluten free beef jerky	Snacks
gluten free fruit snacks	Snacks
gluten free cheese puffs	Snacks
gluten free rice cakes	Snacks
